date;starlings;wildlife;wildlife photography;turkish lira crisis;air travel;isPartial
2022-01-01;0;89;2;3;8;False
2022-01-02;4;100;3;0;15;False
2022-01-03;5;76;3;0;12;False
2022-01-04;7;69;0;0;13;False
2022-01-05;0;64;0;0;18;False
2022-01-06;3;55;0;0;14;False
2022-01-07;3;63;2;0;15;False
2022-01-08;2;83;2;0;17;False
2022-01-09;6;75;3;0;13;False
2022-01-10;0;78;4;0;23;False
2022-01-11;3;64;1;0;18;False
2022-01-12;3;61;3;0;16;False
2022-01-13;3;66;3;1;23;False
2022-01-14;5;64;3;0;20;False
2022-01-15;3;75;2;0;15;False
2022-01-16;5;84;2;0;17;False
2022-01-17;7;63;2;0;15;False
2022-01-18;6;72;1;0;14;False
2022-01-19;2;56;4;0;17;False
2022-01-20;11;70;0;0;13;False
2022-01-21;7;79;2;0;9;False
2022-01-22;6;82;2;0;12;False
2022-01-23;5;88;2;0;16;False
2022-01-24;5;71;2;0;23;False
2022-01-25;3;82;4;0;12;False
2022-01-26;7;69;3;1;15;False
2022-01-27;4;66;0;0;17;False
2022-01-28;8;77;1;0;12;False
2022-01-29;4;77;3;5;14;False
2022-01-30;8;85;5;0;17;False
2022-01-31;9;64;5;0;19;False
