date;plastic;stars;disability;sudan crisis;air travel;isPartial
2022-01-01;78;61;13;0;2;False
2022-01-02;91;68;14;0;4;False
2022-01-03;90;73;19;0;3;False
2022-01-04;100;57;27;0;3;False
2022-01-05;88;56;22;0;5;False
2022-01-06;86;56;26;0;4;False
2022-01-07;82;56;25;0;4;False
2022-01-08;87;66;15;0;4;False
2022-01-09;95;65;20;0;3;False
2022-01-10;87;53;27;0;6;False
2022-01-11;90;52;26;0;4;False
2022-01-12;89;55;29;0;5;False
2022-01-13;88;56;25;0;5;False
2022-01-14;88;56;23;0;5;False
2022-01-15;100;69;20;0;4;False
2022-01-16;96;70;20;0;5;False
2022-01-17;86;52;26;0;3;False
2022-01-18;90;46;26;0;3;False
2022-01-19;82;49;25;0;4;False
2022-01-20;84;51;29;1;3;False
2022-01-21;76;55;24;0;3;False
2022-01-22;92;61;18;1;3;False
2022-01-23;94;64;18;0;4;False
2022-01-24;97;57;32;0;5;False
2022-01-25;83;58;28;0;3;False
2022-01-26;93;51;26;0;4;False
2022-01-27;85;56;28;0;4;False
2022-01-28;86;54;25;0;4;False
2022-01-29;91;74;17;0;3;False
2022-01-30;86;73;19;0;4;False
2022-01-31;92;70;30;0;5;False
