date;Gang of Four;Maxine Peake;Ricky Gervais;Ronnie Spector;air travel;isPartial
2022-01-01;0;1;15;0;3;False
2022-01-02;0;21;8;0;6;False
2022-01-03;0;24;10;1;5;False
2022-01-04;0;27;8;0;5;False
2022-01-05;0;22;8;0;7;False
2022-01-06;1;24;8;0;6;False
2022-01-07;0;15;10;0;6;False
2022-01-08;1;12;12;0;7;False
2022-01-09;1;10;13;0;5;False
2022-01-10;0;10;12;0;9;False
2022-01-11;1;42;14;1;8;False
2022-01-12;0;36;13;16;7;False
2022-01-13;0;24;16;100;10;False
2022-01-14;0;15;68;53;8;False
2022-01-15;0;17;91;16;6;False
2022-01-16;0;19;79;8;7;False
2022-01-17;2;13;71;3;6;False
2022-01-18;0;14;62;2;6;False
2022-01-19;0;14;61;2;7;False
2022-01-20;0;12;51;1;5;False
2022-01-21;1;12;52;3;4;False
2022-01-22;0;12;52;3;5;False
2022-01-23;0;9;50;2;7;False
2022-01-24;0;8;39;2;9;False
2022-01-25;0;8;32;1;5;False
2022-01-26;0;7;30;0;6;False
2022-01-27;1;5;31;1;7;False
2022-01-28;0;3;33;0;5;False
2022-01-29;0;5;36;0;6;False
2022-01-30;0;3;31;0;7;False
2022-01-31;0;3;23;1;8;False
