date;camilla, duchess of cornwall;conservative party;boris johnson;our planet now;air travel;isPartial
2022-01-01;0;0;17;0;1;False
2022-01-02;0;0;14;0;1;False
2022-01-03;0;0;15;0;1;False
2022-01-04;0;1;41;0;1;False
2022-01-05;0;1;18;0;2;False
2022-01-06;0;1;12;0;1;False
2022-01-07;0;0;10;0;1;False
2022-01-08;0;0;8;0;2;False
2022-01-09;0;0;9;0;1;False
2022-01-10;0;1;19;0;2;False
2022-01-11;0;1;38;0;2;False
2022-01-12;0;3;100;0;1;False
2022-01-13;0;2;62;0;2;False
2022-01-14;0;1;55;0;2;False
2022-01-15;0;1;47;0;1;False
2022-01-16;0;1;36;0;2;False
2022-01-17;0;1;28;0;1;False
2022-01-18;0;1;39;0;1;False
2022-01-19;0;1;60;0;2;False
2022-01-20;0;1;37;0;1;False
2022-01-21;0;1;28;0;1;False
2022-01-22;0;1;22;0;1;False
2022-01-23;0;1;18;0;2;False
2022-01-24;0;1;39;1;2;False
2022-01-25;0;1;35;0;1;False
2022-01-26;0;1;41;0;1;False
2022-01-27;0;1;30;0;2;False
2022-01-28;0;1;33;0;1;False
2022-01-29;0;1;23;0;1;False
2022-01-30;0;1;19;0;2;False
2022-01-31;0;1;48;0;2;False
