date;Boris Johnson;Andrew Mitchell;Theresa May;US education;air travel;isPartial
2022-01-01;17;0;1;0;1;False
2022-01-02;14;0;0;0;1;False
2022-01-03;15;0;0;0;1;False
2022-01-04;41;0;1;0;1;False
2022-01-05;18;0;1;0;2;False
2022-01-06;12;0;1;0;1;False
2022-01-07;10;0;1;0;1;False
2022-01-08;8;0;0;0;2;False
2022-01-09;9;0;0;0;1;False
2022-01-10;19;0;1;0;2;False
2022-01-11;38;0;1;0;2;False
2022-01-12;100;0;2;1;1;False
2022-01-13;62;0;2;0;2;False
2022-01-14;55;0;2;0;2;False
2022-01-15;47;0;1;0;1;False
2022-01-16;36;0;1;0;2;False
2022-01-17;28;0;1;0;1;False
2022-01-18;39;0;1;0;1;False
2022-01-19;60;0;2;0;2;False
2022-01-20;37;0;1;0;1;False
2022-01-21;28;0;1;0;1;False
2022-01-22;22;0;1;0;1;False
2022-01-23;18;0;0;0;2;False
2022-01-24;39;0;1;0;2;False
2022-01-25;35;0;1;0;1;False
2022-01-26;41;0;1;0;1;False
2022-01-27;30;0;1;0;2;False
2022-01-28;33;0;1;0;1;False
2022-01-29;23;0;1;0;1;False
2022-01-30;19;0;0;0;2;False
2022-01-31;48;3;9;0;2;False
