date;Arthur Conan Doyle;American Honey;Fish Tank;Royal Air Force;air travel;isPartial
2022-01-01;5;0;81;4;9;False
2022-01-02;4;0;79;5;17;False
2022-01-03;4;0;81;4;14;False
2022-01-04;0;0;68;5;15;False
2022-01-05;0;3;53;0;21;False
2022-01-06;11;2;61;4;17;False
2022-01-07;5;3;50;9;17;False
2022-01-08;5;0;77;6;20;False
2022-01-09;0;0;100;5;15;False
2022-01-10;2;3;57;3;27;False
2022-01-11;5;0;47;3;22;False
2022-01-12;2;0;52;4;18;False
2022-01-13;4;0;63;4;27;False
2022-01-14;3;0;53;6;23;False
2022-01-15;2;0;86;8;18;False
2022-01-16;0;0;88;4;20;False
2022-01-17;3;0;64;7;18;False
2022-01-18;4;0;55;6;16;False
2022-01-19;0;2;55;5;20;False
2022-01-20;2;0;59;6;15;False
2022-01-21;5;0;57;6;10;False
2022-01-22;0;0;67;4;15;False
2022-01-23;0;0;94;1;19;False
2022-01-24;0;0;64;6;27;False
2022-01-25;5;2;55;7;14;False
2022-01-26;3;0;50;2;18;False
2022-01-27;4;0;46;6;20;False
2022-01-28;2;0;57;5;14;False
2022-01-29;0;4;78;6;16;False
2022-01-30;0;0;86;5;20;False
2022-01-31;0;0;60;5;23;False
