date;medical technology;haiti;ariel henry;tiktok;air travel;isPartial
2022-01-01;0;2;0;96;2;False
2022-01-02;0;2;0;93;3;False
2022-01-03;0;2;1;85;3;False
2022-01-04;0;2;0;88;3;False
2022-01-05;1;1;0;86;4;False
2022-01-06;0;2;0;83;3;False
2022-01-07;1;2;0;82;3;False
2022-01-08;0;2;0;100;4;False
2022-01-09;0;2;0;94;3;False
2022-01-10;0;2;0;81;5;False
2022-01-11;0;2;1;84;4;False
2022-01-12;0;2;0;79;3;False
2022-01-13;0;2;1;89;5;False
2022-01-14;0;2;0;81;4;False
2022-01-15;0;2;0;100;3;False
2022-01-16;0;3;0;96;4;False
2022-01-17;1;1;0;81;3;False
2022-01-18;0;2;0;77;3;False
2022-01-19;0;2;0;76;4;False
2022-01-20;0;2;0;73;3;False
2022-01-21;1;1;0;79;2;False
2022-01-22;0;2;0;96;3;False
2022-01-23;0;1;0;93;3;False
2022-01-24;0;3;0;96;5;False
2022-01-25;0;2;0;77;3;False
2022-01-26;0;2;0;78;3;False
2022-01-27;0;2;0;78;4;False
2022-01-28;0;2;0;87;3;False
2022-01-29;0;2;0;95;3;False
2022-01-30;0;2;0;90;4;False
2022-01-31;0;2;0;83;4;False
