date;South Pacific;Tsunamis;Volcanoes;Midnight Oil;air travel;isPartial
2022-01-01;21;7;5;0;31;False
2022-01-02;55;0;6;0;57;False
2022-01-03;9;0;38;0;47;False
2022-01-04;13;0;44;14;49;False
2022-01-05;10;24;47;7;70;False
2022-01-06;6;0;41;0;56;False
2022-01-07;19;19;32;0;58;False
2022-01-08;7;0;42;6;65;False
2022-01-09;14;4;40;0;50;False
2022-01-10;12;5;59;0;89;False
2022-01-11;5;0;60;8;72;False
2022-01-12;7;7;54;9;62;False
2022-01-13;12;15;68;0;92;False
2022-01-14;14;13;34;0;77;False
2022-01-15;35;21;67;0;61;False
2022-01-16;33;54;100;5;66;False
2022-01-17;20;18;67;0;59;False
2022-01-18;38;12;80;0;54;False
2022-01-19;12;17;75;0;68;False
2022-01-20;25;11;48;8;49;False
2022-01-21;22;10;44;0;35;False
2022-01-22;0;6;29;26;49;False
2022-01-23;18;0;60;7;63;False
2022-01-24;12;12;48;6;89;False
2022-01-25;9;7;47;0;45;False
2022-01-26;5;4;73;5;58;False
2022-01-27;17;5;53;6;65;False
2022-01-28;8;0;74;4;45;False
2022-01-29;12;0;18;12;55;False
2022-01-30;17;9;43;7;65;False
2022-01-31;13;14;67;10;76;False
