date;Cillian Murphy;One Direction;Cairns;Melbourne holidays;air travel;isPartial
2022-01-01;14;21;11;1;9;False
2022-01-02;26;28;11;0;17;False
2022-01-03;21;15;4;1;14;False
2022-01-04;17;16;11;0;14;False
2022-01-05;20;12;8;0;20;False
2022-01-06;13;15;11;2;16;False
2022-01-07;20;18;12;0;17;False
2022-01-08;38;20;10;0;19;False
2022-01-09;21;21;11;2;15;False
2022-01-10;19;16;12;0;26;False
2022-01-11;18;13;11;0;21;False
2022-01-12;17;16;8;0;18;False
2022-01-13;19;13;10;0;27;False
2022-01-14;19;17;13;0;22;False
2022-01-15;26;33;7;2;18;False
2022-01-16;31;27;14;0;19;False
2022-01-17;11;19;15;3;17;False
2022-01-18;14;12;9;1;16;False
2022-01-19;13;19;11;0;20;False
2022-01-20;16;18;10;2;14;False
2022-01-21;10;15;10;0;10;False
2022-01-22;20;100;9;2;14;False
2022-01-23;18;50;10;0;18;False
2022-01-24;16;25;16;0;26;False
2022-01-25;16;16;13;0;13;False
2022-01-26;12;17;9;0;17;False
2022-01-27;10;19;16;0;19;False
2022-01-28;15;26;11;2;13;False
2022-01-29;27;41;14;0;16;False
2022-01-30;20;30;12;2;19;False
2022-01-31;18;21;11;2;22;False
