date;Zombies;South Korea;Cats;Foreign, Commonwealth and Development Office;air travel;isPartial
2022-01-01;11;5;93;1;2;False
2022-01-02;9;5;91;0;3;False
2022-01-03;7;5;84;0;3;False
2022-01-04;6;6;86;0;3;False
2022-01-05;7;5;81;0;4;False
2022-01-06;5;5;78;0;3;False
2022-01-07;7;4;83;0;3;False
2022-01-08;8;6;86;0;4;False
2022-01-09;8;4;91;0;3;False
2022-01-10;5;6;79;1;5;False
2022-01-11;5;4;75;0;4;False
2022-01-12;7;5;76;0;3;False
2022-01-13;7;4;89;0;5;False
2022-01-14;6;3;76;0;4;False
2022-01-15;10;5;100;1;3;False
2022-01-16;9;5;97;0;4;False
2022-01-17;6;4;82;1;3;False
2022-01-18;5;4;75;0;3;False
2022-01-19;6;3;75;0;4;False
2022-01-20;6;4;73;0;3;False
2022-01-21;7;5;81;0;2;False
2022-01-22;9;4;91;0;3;False
2022-01-23;9;4;82;0;4;False
2022-01-24;6;5;82;0;5;False
2022-01-25;7;5;71;1;3;False
2022-01-26;6;4;73;0;3;False
2022-01-27;5;7;70;0;4;False
2022-01-28;6;4;80;0;3;False
2022-01-29;11;5;85;0;3;False
2022-01-30;10;4;81;0;4;False
2022-01-31;7;6;72;0;4;False
