date;dorset;aung san suu kyi;andrew garfield;kate winslet;air travel;isPartial
2022-01-01;78;1;77;5;4;False
2022-01-02;72;1;75;6;7;False
2022-01-03;84;0;71;5;6;False
2022-01-04;93;0;57;5;6;False
2022-01-05;85;0;56;3;9;False
2022-01-06;80;1;41;2;7;False
2022-01-07;81;0;53;5;7;False
2022-01-08;86;0;71;6;8;False
2022-01-09;87;1;61;10;6;False
2022-01-10;92;5;50;7;11;False
2022-01-11;83;0;41;5;9;False
2022-01-12;85;0;37;5;8;False
2022-01-13;91;0;41;3;11;False
2022-01-14;75;0;38;4;9;False
2022-01-15;86;0;53;10;7;False
2022-01-16;94;0;45;5;8;False
2022-01-17;88;0;32;5;7;False
2022-01-18;79;0;35;3;7;False
2022-01-19;80;0;25;3;8;False
2022-01-20;77;0;20;3;6;False
2022-01-21;81;1;21;3;4;False
2022-01-22;72;0;28;6;6;False
2022-01-23;76;0;30;4;8;False
2022-01-24;100;0;26;4;11;False
2022-01-25;79;0;20;3;6;False
2022-01-26;94;0;20;4;7;False
2022-01-27;86;1;20;1;8;False
2022-01-28;86;0;27;3;6;False
2022-01-29;87;0;26;5;7;False
2022-01-30;81;0;24;3;8;False
2022-01-31;89;1;15;7;9;False
