date;Wiley;Marcus Rashford;Open University;University of Essex;air travel;isPartial
2022-01-01;4;16;67;5;10;False
2022-01-02;9;7;74;7;18;False
2022-01-03;11;13;86;5;15;False
2022-01-04;12;21;97;7;15;False
2022-01-05;14;13;83;7;22;False
2022-01-06;10;7;73;6;17;False
2022-01-07;13;14;69;7;18;False
2022-01-08;11;19;74;3;20;False
2022-01-09;7;14;82;11;16;False
2022-01-10;14;54;94;10;28;False
2022-01-11;12;44;94;13;22;False
2022-01-12;14;24;99;10;19;False
2022-01-13;10;26;84;9;29;False
2022-01-14;10;16;65;7;24;False
2022-01-15;13;21;63;3;19;False
2022-01-16;16;10;88;9;21;False
2022-01-17;19;14;100;13;19;False
2022-01-18;10;7;83;11;17;False
2022-01-19;7;13;67;10;21;False
2022-01-20;11;10;68;11;15;False
2022-01-21;11;9;68;6;11;False
2022-01-22;13;19;62;9;15;False
2022-01-23;12;19;69;5;20;False
2022-01-24;14;20;93;11;28;False
2022-01-25;72;12;86;13;14;False
2022-01-26;66;16;79;8;18;False
2022-01-27;23;14;79;11;20;False
2022-01-28;11;6;74;10;14;False
2022-01-29;17;6;58;8;17;False
2022-01-30;7;22;74;5;20;False
2022-01-31;16;46;77;6;24;False
