date;Malawi;Mozambique;Madagascar;Vox pops;air travel;isPartial
2022-01-01;10;3;39;2;11;False
2022-01-02;8;6;84;0;20;False
2022-01-03;13;6;34;0;17;False
2022-01-04;9;3;24;0;17;False
2022-01-05;15;10;23;0;25;False
2022-01-06;11;8;29;0;20;False
2022-01-07;12;9;27;5;21;False
2022-01-08;8;3;36;0;23;False
2022-01-09;10;5;49;0;18;False
2022-01-10;34;10;38;2;31;False
2022-01-11;19;7;27;0;26;False
2022-01-12;13;7;22;0;22;False
2022-01-13;16;9;36;0;32;False
2022-01-14;33;7;26;0;27;False
2022-01-15;17;8;40;0;21;False
2022-01-16;20;8;24;0;23;False
2022-01-17;17;10;26;2;21;False
2022-01-18;43;6;23;0;19;False
2022-01-19;15;9;28;0;24;False
2022-01-20;20;8;31;0;18;False
2022-01-21;15;8;27;0;12;False
2022-01-22;18;4;27;0;17;False
2022-01-23;13;4;59;2;22;False
2022-01-24;14;9;26;0;31;False
2022-01-25;100;15;29;0;16;False
2022-01-26;32;4;34;0;21;False
2022-01-27;13;6;30;2;23;False
2022-01-28;13;8;32;0;16;False
2022-01-29;9;10;32;0;19;False
2022-01-30;20;9;29;0;23;False
2022-01-31;13;9;20;0;27;False
