date;euthanasia and assisted dying;child health;jonathan van-tam;joseph stalin;air travel;isPartial
2022-01-01;0;13;28;0;22;False
2022-01-02;0;8;9;0;41;False
2022-01-03;0;19;0;4;32;False
2022-01-04;0;29;0;9;34;False
2022-01-05;0;26;0;7;48;False
2022-01-06;0;26;3;6;38;False
2022-01-07;0;15;0;9;36;False
2022-01-08;0;15;0;7;44;False
2022-01-09;0;22;6;11;28;False
2022-01-10;0;30;0;8;56;False
2022-01-11;0;31;0;7;40;False
2022-01-12;0;34;0;11;46;False
2022-01-13;0;33;100;0;53;False
2022-01-14;0;31;12;0;45;False
2022-01-15;0;21;0;8;44;False
2022-01-16;0;23;0;6;52;False
2022-01-17;0;30;9;3;32;False
2022-01-18;0;30;0;8;29;False
2022-01-19;0;29;0;0;44;False
2022-01-20;0;29;3;4;29;False
2022-01-21;0;18;0;6;29;False
2022-01-22;0;23;0;7;26;False
2022-01-23;0;19;0;7;45;False
2022-01-24;0;35;0;6;51;False
2022-01-25;0;25;0;6;31;False
2022-01-26;0;31;6;0;40;False
2022-01-27;0;23;0;3;37;False
2022-01-28;0;31;4;0;39;False
2022-01-29;0;18;0;0;31;False
2022-01-30;0;14;0;6;41;False
2022-01-31;0;49;0;13;49;False
