date;Roman Abramovich;Cruises;Housing market;Real estate;air travel;isPartial
2022-01-01;1;61;2;18;2;False
2022-01-02;0;61;3;20;6;False
2022-01-03;1;69;4;21;6;False
2022-01-04;2;64;2;26;7;False
2022-01-05;4;63;4;27;7;False
2022-01-06;0;70;3;24;5;False
2022-01-07;0;73;1;26;6;False
2022-01-08;1;77;2;23;6;False
2022-01-09;0;100;3;20;5;False
2022-01-10;0;71;3;30;9;False
2022-01-11;0;66;3;30;7;False
2022-01-12;2;69;2;25;7;False
2022-01-13;1;67;2;24;8;False
2022-01-14;1;58;3;21;8;False
2022-01-15;1;79;3;21;6;False
2022-01-16;0;92;3;20;7;False
2022-01-17;0;69;2;27;5;False
2022-01-18;1;62;3;23;6;False
2022-01-19;1;64;3;29;7;False
2022-01-20;1;66;3;25;5;False
2022-01-21;1;64;3;25;4;False
2022-01-22;1;72;3;18;4;False
2022-01-23;2;96;2;20;8;False
2022-01-24;1;87;4;28;8;False
2022-01-25;1;68;3;24;5;False
2022-01-26;0;66;3;22;6;False
2022-01-27;1;64;3;22;6;False
2022-01-28;1;70;3;23;6;False
2022-01-29;1;79;2;16;5;False
2022-01-30;0;84;2;15;7;False
2022-01-31;1;71;2;21;8;False
