date;serbia;global warming;grammys;wolf alice;air travel;isPartial
2022-01-01;23;9;11;11;14;False
2022-01-02;18;11;8;16;26;False
2022-01-03;14;5;7;11;22;False
2022-01-04;25;12;13;24;23;False
2022-01-05;29;17;5;0;32;False
2022-01-06;69;11;13;16;26;False
2022-01-07;69;9;10;12;27;False
2022-01-08;49;7;6;4;30;False
2022-01-09;57;16;0;14;23;False
2022-01-10;100;19;12;4;41;False
2022-01-11;52;17;2;9;33;False
2022-01-12;37;16;2;27;28;False
2022-01-13;35;24;4;24;42;False
2022-01-14;51;19;10;9;35;False
2022-01-15;46;7;10;8;28;False
2022-01-16;96;18;3;13;30;False
2022-01-17;60;12;7;5;27;False
2022-01-18;26;17;6;12;25;False
2022-01-19;18;14;7;15;31;False
2022-01-20;26;21;10;17;23;False
2022-01-21;31;18;9;16;16;False
2022-01-22;37;14;11;17;22;False
2022-01-23;26;12;7;7;29;False
2022-01-24;27;26;8;18;41;False
2022-01-25;25;28;5;6;21;False
2022-01-26;29;13;8;9;27;False
2022-01-27;27;26;2;10;30;False
2022-01-28;19;18;0;7;21;False
2022-01-29;19;8;7;10;25;False
2022-01-30;20;15;11;8;30;False
2022-01-31;21;20;9;10;35;False
