date;Sigourney Weaver;Minnesota;Black Lives Matter movement;Antonio Conte;air travel;isPartial
2022-01-01;12;47;0;35;29;False
2022-01-02;12;62;0;22;54;False
2022-01-03;56;70;7;11;44;False
2022-01-04;10;51;0;8;46;False
2022-01-05;14;34;6;55;66;False
2022-01-06;9;31;9;25;52;False
2022-01-07;18;36;0;26;54;False
2022-01-08;40;39;0;11;61;False
2022-01-09;19;52;0;12;47;False
2022-01-10;22;52;0;6;83;False
2022-01-11;16;37;0;8;67;False
2022-01-12;7;42;0;26;58;False
2022-01-13;13;27;0;11;86;False
2022-01-14;8;40;6;9;72;False
2022-01-15;20;39;0;16;57;False
2022-01-16;24;32;0;17;62;False
2022-01-17;4;43;0;7;56;False
2022-01-18;16;40;0;9;50;False
2022-01-19;7;41;0;25;64;False
2022-01-20;16;44;0;24;46;False
2022-01-21;7;49;0;10;32;False
2022-01-22;22;39;0;22;45;False
2022-01-23;8;34;4;100;59;False
2022-01-24;16;50;0;6;83;False
2022-01-25;0;55;0;0;42;False
2022-01-26;7;38;0;6;55;False
2022-01-27;4;27;0;0;61;False
2022-01-28;19;39;5;24;42;False
2022-01-29;23;43;0;0;51;False
2022-01-30;9;49;0;11;61;False
2022-01-31;5;29;0;7;71;False
