date;Boxing;Opinion polls;Commuting;London Stock Exchange;air travel;isPartial
2022-01-01;87;2;1;1;3;False
2022-01-02;87;3;1;0;5;False
2022-01-03;74;3;1;3;4;False
2022-01-04;68;3;1;5;5;False
2022-01-05;62;2;1;5;7;False
2022-01-06;58;2;1;5;5;False
2022-01-07;68;3;2;4;5;False
2022-01-08;77;1;0;1;6;False
2022-01-09;76;4;1;1;5;False
2022-01-10;68;2;1;5;8;False
2022-01-11;66;4;1;5;7;False
2022-01-12;64;4;1;5;6;False
2022-01-13;71;6;1;6;8;False
2022-01-14;61;4;2;4;7;False
2022-01-15;89;4;1;2;6;False
2022-01-16;78;4;2;1;6;False
2022-01-17;67;4;1;4;6;False
2022-01-18;64;5;1;6;5;False
2022-01-19;59;4;2;4;6;False
2022-01-20;61;3;1;6;5;False
2022-01-21;62;5;2;5;3;False
2022-01-22;88;3;1;2;5;False
2022-01-23;83;3;2;3;6;False
2022-01-24;75;4;1;8;8;False
2022-01-25;63;4;1;4;4;False
2022-01-26;65;4;1;5;5;False
2022-01-27;68;3;2;5;6;False
2022-01-28;81;3;1;4;4;False
2022-01-29;100;2;1;1;5;False
2022-01-30;73;3;1;1;6;False
2022-01-31;61;5;2;6;7;False
