date;Estonia;Wayne Rooney;Glass Animals;British food and drink;air travel;isPartial
2022-01-01;17;22;10;0;14;False
2022-01-02;20;18;6;0;26;False
2022-01-03;16;58;11;0;22;False
2022-01-04;27;27;10;0;23;False
2022-01-05;20;8;17;0;32;False
2022-01-06;20;12;10;0;26;False
2022-01-07;26;23;4;2;27;False
2022-01-08;25;41;9;0;30;False
2022-01-09;24;20;7;0;23;False
2022-01-10;23;20;10;3;41;False
2022-01-11;21;17;8;0;33;False
2022-01-12;26;24;4;0;28;False
2022-01-13;18;20;7;0;42;False
2022-01-14;24;17;6;0;35;False
2022-01-15;16;47;13;6;28;False
2022-01-16;29;100;6;0;30;False
2022-01-17;25;52;6;0;27;False
2022-01-18;24;55;0;0;25;False
2022-01-19;20;44;6;4;31;False
2022-01-20;28;35;8;0;23;False
2022-01-21;27;26;9;3;16;False
2022-01-22;21;51;12;5;22;False
2022-01-23;36;20;9;0;29;False
2022-01-24;21;13;5;4;41;False
2022-01-25;33;12;7;0;21;False
2022-01-26;26;20;10;0;27;False
2022-01-27;21;20;9;0;30;False
2022-01-28;26;52;20;3;21;False
2022-01-29;17;53;14;4;25;False
2022-01-30;24;63;7;0;30;False
2022-01-31;26;39;6;0;35;False
