date;Sheffield Theatres;Hewlett-Packard;Autonomy;Bette Midler;air travel;isPartial
2022-01-01;5;12;24;20;34;False
2022-01-02;18;0;25;14;63;False
2022-01-03;9;0;24;0;51;False
2022-01-04;0;6;36;34;54;False
2022-01-05;5;0;43;5;77;False
2022-01-06;20;10;38;0;61;False
2022-01-07;0;5;50;19;63;False
2022-01-08;11;0;35;15;71;False
2022-01-09;7;0;32;9;55;False
2022-01-10;10;0;54;6;97;False
2022-01-11;6;8;52;13;79;False
2022-01-12;7;0;66;0;67;False
2022-01-13;18;0;41;15;100;False
2022-01-14;7;0;45;12;84;False
2022-01-15;15;0;22;13;66;False
2022-01-16;0;0;29;16;72;False
2022-01-17;20;0;49;16;65;False
2022-01-18;9;11;63;6;59;False
2022-01-19;5;7;46;17;74;False
2022-01-20;13;0;48;12;54;False
2022-01-21;5;5;28;16;38;False
2022-01-22;0;0;38;9;53;False
2022-01-23;5;0;36;15;69;False
2022-01-24;0;0;51;17;97;False
2022-01-25;8;4;60;4;49;False
2022-01-26;14;0;46;11;64;False
2022-01-27;0;0;40;8;71;False
2022-01-28;26;0;91;14;49;False
2022-01-29;17;14;90;25;60;False
2022-01-30;12;18;29;18;71;False
2022-01-31;11;7;38;24;82;False
