date;Dow Jones;Standard & Poor's;Gun crime;Elizabeth Banks;air travel;isPartial
2022-01-01;11;0;1;3;8;False
2022-01-02;3;0;0;6;15;False
2022-01-03;34;0;2;3;12;False
2022-01-04;51;0;0;4;13;False
2022-01-05;46;2;2;0;18;False
2022-01-06;44;1;1;3;14;False
2022-01-07;44;0;0;0;15;False
2022-01-08;11;0;1;6;17;False
2022-01-09;8;0;0;0;13;False
2022-01-10;45;2;0;0;23;False
2022-01-11;45;3;1;2;18;False
2022-01-12;40;1;0;3;16;False
2022-01-13;48;0;2;6;23;False
2022-01-14;42;0;0;5;20;False
2022-01-15;4;0;0;4;15;False
2022-01-16;4;2;0;5;17;False
2022-01-17;33;0;0;0;15;False
2022-01-18;54;1;6;1;14;False
2022-01-19;44;0;0;0;17;False
2022-01-20;40;0;1;1;13;False
2022-01-21;54;0;3;2;9;False
2022-01-22;13;0;1;4;12;False
2022-01-23;4;3;0;0;16;False
2022-01-24;100;0;0;0;23;False
2022-01-25;65;0;0;3;11;False
2022-01-26;75;0;0;2;15;False
2022-01-27;60;0;0;2;17;False
2022-01-28;61;0;1;3;12;False
2022-01-29;12;2;1;3;14;False
2022-01-30;3;0;2;7;17;False
2022-01-31;55;0;0;0;19;False
