date;migrant crisis;gcse;ryan reynolds;wrexham fc;air travel;isPartial
2022-01-01;0;29;25;4;2;False
2022-01-02;0;38;13;9;3;False
2022-01-03;0;45;9;3;3;False
2022-01-04;0;57;9;4;3;False
2022-01-05;0;65;8;2;4;False
2022-01-06;1;66;7;3;3;False
2022-01-07;0;56;7;2;3;False
2022-01-08;0;47;9;4;4;False
2022-01-09;0;71;8;3;3;False
2022-01-10;0;81;6;3;5;False
2022-01-11;0;83;5;2;4;False
2022-01-12;0;78;4;2;3;False
2022-01-13;0;100;5;1;5;False
2022-01-14;0;56;5;3;4;False
2022-01-15;0;51;10;8;3;False
2022-01-16;0;72;6;3;4;False
2022-01-17;0;80;4;3;3;False
2022-01-18;0;76;4;2;3;False
2022-01-19;0;69;3;2;4;False
2022-01-20;0;74;4;3;3;False
2022-01-21;0;60;6;3;2;False
2022-01-22;0;43;7;6;3;False
2022-01-23;0;65;6;3;4;False
2022-01-24;0;85;4;6;5;False
2022-01-25;0;75;5;9;3;False
2022-01-26;0;71;4;6;3;False
2022-01-27;0;67;4;4;4;False
2022-01-28;1;58;5;4;3;False
2022-01-29;0;48;7;12;3;False
2022-01-30;0;59;5;2;4;False
2022-01-31;0;73;4;7;4;False
