date;Torino;Coco Gauff;Christina Ricci;Juliette Lewis;air travel;isPartial
2022-01-01;48;0;16;12;34;False
2022-01-02;10;0;22;6;62;False
2022-01-03;39;0;10;5;51;False
2022-01-04;27;6;22;17;53;False
2022-01-05;34;18;19;10;76;False
2022-01-06;75;9;14;14;61;False
2022-01-07;43;5;14;26;63;False
2022-01-08;42;0;7;30;71;False
2022-01-09;56;0;26;10;55;False
2022-01-10;100;0;9;21;96;False
2022-01-11;51;16;18;8;78;False
2022-01-12;31;15;4;12;67;False
2022-01-13;43;13;21;13;99;False
2022-01-14;36;10;29;11;83;False
2022-01-15;64;5;42;20;66;False
2022-01-16;51;10;37;26;71;False
2022-01-17;33;31;30;21;64;False
2022-01-18;43;6;29;25;58;False
2022-01-19;26;9;15;9;74;False
2022-01-20;33;0;21;13;54;False
2022-01-21;29;6;25;14;38;False
2022-01-22;46;13;35;38;53;False
2022-01-23;92;5;25;33;68;False
2022-01-24;32;0;33;27;96;False
2022-01-25;37;0;22;42;49;False
2022-01-26;39;0;32;18;63;False
2022-01-27;42;5;17;15;71;False
2022-01-28;34;7;10;27;49;False
2022-01-29;36;7;23;20;59;False
2022-01-30;16;0;27;28;71;False
2022-01-31;43;0;14;16;82;False
