date;Enid Blyton;Disco;Dance music;Barnsley;air travel;isPartial
2022-01-01;4;34;6;52;3;False
2022-01-02;2;28;6;63;6;False
2022-01-03;1;26;5;66;5;False
2022-01-04;1;22;4;73;5;False
2022-01-05;1;23;4;64;8;False
2022-01-06;1;25;6;63;6;False
2022-01-07;1;26;3;65;6;False
2022-01-08;2;35;5;100;7;False
2022-01-09;2;29;6;64;5;False
2022-01-10;3;27;6;68;10;False
2022-01-11;2;25;5;61;8;False
2022-01-12;2;27;5;67;7;False
2022-01-13;1;30;3;67;10;False
2022-01-14;1;30;7;61;8;False
2022-01-15;2;36;8;69;7;False
2022-01-16;3;32;7;60;7;False
2022-01-17;1;28;5;60;6;False
2022-01-18;1;28;4;58;6;False
2022-01-19;2;26;5;62;7;False
2022-01-20;2;25;6;60;5;False
2022-01-21;1;31;7;65;4;False
2022-01-22;2;38;6;74;5;False
2022-01-23;1;30;5;59;7;False
2022-01-24;0;34;8;70;10;False
2022-01-25;0;25;4;81;5;False
2022-01-26;1;28;6;61;6;False
2022-01-27;1;26;5;60;7;False
2022-01-28;0;33;6;76;5;False
2022-01-29;2;35;6;90;6;False
2022-01-30;1;31;4;62;7;False
2022-01-31;0;26;4;75;8;False
