date;Consumer rights;Royal Mail;Trump administration;Apple;air travel;isPartial
2022-01-01;0;21;0;90;0;False
2022-01-02;0;25;0;100;1;False
2022-01-03;0;32;0;96;1;False
2022-01-04;0;58;0;86;1;False
2022-01-05;0;65;0;80;1;False
2022-01-06;1;54;0;72;1;False
2022-01-07;0;57;0;78;1;False
2022-01-08;0;38;0;86;1;False
2022-01-09;0;26;0;85;1;False
2022-01-10;0;57;0;82;1;False
2022-01-11;1;57;0;75;1;False
2022-01-12;1;47;0;73;1;False
2022-01-13;1;45;0;74;1;False
2022-01-14;0;38;0;70;1;False
2022-01-15;0;31;0;86;1;False
2022-01-16;0;24;0;90;1;False
2022-01-17;1;42;0;68;1;False
2022-01-18;0;37;0;68;1;False
2022-01-19;0;37;0;63;1;False
2022-01-20;0;35;0;72;1;False
2022-01-21;1;34;0;67;1;False
2022-01-22;0;26;0;80;1;False
2022-01-23;0;19;0;78;1;False
2022-01-24;1;39;0;81;1;False
2022-01-25;1;38;0;67;1;False
2022-01-26;1;35;0;74;1;False
2022-01-27;0;35;0;63;1;False
2022-01-28;0;35;0;69;1;False
2022-01-29;0;28;0;80;1;False
2022-01-30;0;19;0;69;1;False
2022-01-31;1;36;0;66;1;False
