date;lily james;fukushima;barry cryer;trudy harrison;air travel;isPartial
2022-01-01;3;0;0;0;1;False
2022-01-02;2;0;0;0;2;False
2022-01-03;2;0;0;1;2;False
2022-01-04;2;0;0;0;2;False
2022-01-05;2;1;0;0;3;False
2022-01-06;6;0;0;0;2;False
2022-01-07;5;0;0;0;2;False
2022-01-08;3;0;0;0;3;False
2022-01-09;4;0;0;0;2;False
2022-01-10;3;0;0;0;4;False
2022-01-11;3;0;0;1;3;False
2022-01-12;2;0;0;0;2;False
2022-01-13;2;0;0;0;4;False
2022-01-14;2;0;1;0;3;False
2022-01-15;4;1;0;0;2;False
2022-01-16;4;0;0;1;3;False
2022-01-17;2;0;0;0;2;False
2022-01-18;1;0;0;0;2;False
2022-01-19;2;0;0;0;3;False
2022-01-20;5;0;0;0;2;False
2022-01-21;4;0;0;0;1;False
2022-01-22;2;0;1;0;2;False
2022-01-23;3;0;0;0;3;False
2022-01-24;4;0;0;0;4;False
2022-01-25;2;1;1;0;2;False
2022-01-26;9;0;0;0;2;False
2022-01-27;21;1;100;1;3;False
2022-01-28;9;0;27;0;2;False
2022-01-29;8;0;8;0;2;False
2022-01-30;7;0;6;0;3;False
2022-01-31;5;0;2;0;3;False
