date;republican party;twitter;us politics;netflix;air travel;isPartial
2022-01-01;0;84;0;97;0;False
2022-01-02;0;81;0;89;1;False
2022-01-03;0;73;0;75;1;False
2022-01-04;0;75;0;67;1;False
2022-01-05;0;77;0;56;1;False
2022-01-06;0;69;0;53;1;False
2022-01-07;0;82;0;64;1;False
2022-01-08;0;88;0;77;1;False
2022-01-09;0;71;0;75;0;False
2022-01-10;0;70;0;55;1;False
2022-01-11;0;80;0;55;1;False
2022-01-12;0;82;0;45;1;False
2022-01-13;0;82;0;49;1;False
2022-01-14;0;76;0;55;1;False
2022-01-15;0;93;0;70;1;False
2022-01-16;0;83;0;79;1;False
2022-01-17;0;71;0;50;1;False
2022-01-18;0;72;0;48;1;False
2022-01-19;0;73;0;43;1;False
2022-01-20;0;71;0;47;1;False
2022-01-21;0;80;0;60;0;False
2022-01-22;0;87;0;72;1;False
2022-01-23;0;71;0;73;1;False
2022-01-24;0;92;0;55;1;False
2022-01-25;0;82;0;43;1;False
2022-01-26;0;80;0;45;1;False
2022-01-27;0;70;0;38;1;False
2022-01-28;0;75;0;52;1;False
2022-01-29;0;90;0;72;1;False
2022-01-30;0;100;0;58;1;False
2022-01-31;0;96;0;47;1;False
