date;Robert Buckland;Party funding;Lebanon;Civil rights movement;air travel;isPartial
2022-01-01;0;0;56;7;34;False
2022-01-02;6;0;49;4;63;False
2022-01-03;0;6;60;7;51;False
2022-01-04;0;0;65;8;54;False
2022-01-05;0;0;57;14;77;False
2022-01-06;0;0;58;0;61;False
2022-01-07;8;0;59;12;63;False
2022-01-08;0;5;40;11;71;False
2022-01-09;0;4;54;7;55;False
2022-01-10;0;0;49;6;97;False
2022-01-11;0;0;48;0;79;False
2022-01-12;7;8;62;8;67;False
2022-01-13;0;0;65;8;100;False
2022-01-14;0;5;51;0;84;False
2022-01-15;35;0;76;0;66;False
2022-01-16;20;0;64;8;72;False
2022-01-17;0;11;62;12;65;False
2022-01-18;4;5;67;12;59;False
2022-01-19;0;0;59;8;74;False
2022-01-20;17;8;68;0;54;False
2022-01-21;0;0;44;23;38;False
2022-01-22;9;5;63;13;53;False
2022-01-23;4;0;55;0;69;False
2022-01-24;0;8;76;10;97;False
2022-01-25;0;7;70;13;49;False
2022-01-26;0;0;71;14;64;False
2022-01-27;0;4;86;9;71;False
2022-01-28;0;0;63;9;49;False
2022-01-29;0;0;64;0;60;False
2022-01-30;0;6;44;6;71;False
2022-01-31;12;4;77;5;82;False
