date;Eric Adams;Consumer spending;Rocky Horror Show;Tights and socks;air travel;isPartial
2022-01-01;9;0;17;0;11;False
2022-01-02;11;0;11;0;20;False
2022-01-03;3;7;11;2;16;False
2022-01-04;4;3;5;0;17;False
2022-01-05;4;1;11;0;25;False
2022-01-06;4;5;12;0;20;False
2022-01-07;3;0;13;1;20;False
2022-01-08;0;0;12;0;23;False
2022-01-09;8;0;6;0;18;False
2022-01-10;6;0;7;0;31;False
2022-01-11;0;4;10;0;25;False
2022-01-12;0;0;10;0;22;False
2022-01-13;0;0;3;0;32;False
2022-01-14;3;0;15;0;27;False
2022-01-15;2;0;13;0;21;False
2022-01-16;8;0;7;0;23;False
2022-01-17;3;0;16;0;21;False
2022-01-18;6;0;9;2;19;False
2022-01-19;0;0;13;0;24;False
2022-01-20;0;0;12;0;17;False
2022-01-21;2;0;100;0;12;False
2022-01-22;3;0;57;5;17;False
2022-01-23;3;0;38;1;22;False
2022-01-24;0;0;19;0;31;False
2022-01-25;5;1;9;4;16;False
2022-01-26;2;0;18;0;20;False
2022-01-27;5;0;11;0;23;False
2022-01-28;0;0;22;0;16;False
2022-01-29;2;0;28;2;19;False
2022-01-30;0;0;19;0;23;False
2022-01-31;0;0;20;0;26;False
