date;Bird flu;National Gallery;Michigan;Kashmir;air travel;isPartial
2022-01-01;8;15;47;18;8;False
2022-01-02;10;23;22;12;15;False
2022-01-03;8;27;26;15;12;False
2022-01-04;7;20;11;12;13;False
2022-01-05;7;14;19;12;18;False
2022-01-06;96;16;9;10;14;False
2022-01-07;100;21;15;16;15;False
2022-01-08;59;28;17;18;17;False
2022-01-09;45;19;28;10;13;False
2022-01-10;17;24;21;14;22;False
2022-01-11;12;17;20;10;18;False
2022-01-12;11;14;16;9;16;False
2022-01-13;10;20;18;8;23;False
2022-01-14;11;17;19;10;19;False
2022-01-15;17;30;21;15;15;False
2022-01-16;7;27;25;14;17;False
2022-01-17;10;20;25;7;15;False
2022-01-18;17;27;17;14;14;False
2022-01-19;12;19;16;8;17;False
2022-01-20;5;19;19;12;13;False
2022-01-21;9;22;16;11;9;False
2022-01-22;8;28;16;15;12;False
2022-01-23;14;27;20;10;16;False
2022-01-24;6;32;26;15;23;False
2022-01-25;8;23;20;8;11;False
2022-01-26;8;24;18;13;15;False
2022-01-27;6;19;17;8;17;False
2022-01-28;6;23;17;10;12;False
2022-01-29;4;36;24;16;14;False
2022-01-30;10;24;16;14;17;False
2022-01-31;9;21;19;10;19;False
