date;brussels;stowaways;online safety bill;liverpool terror attack;air travel;isPartial
2022-01-01;67;0;0;0;18;False
2022-01-02;70;0;4;0;33;False
2022-01-03;50;0;2;0;27;False
2022-01-04;55;0;8;0;28;False
2022-01-05;73;0;0;0;40;False
2022-01-06;60;0;3;0;32;False
2022-01-07;53;0;0;0;33;False
2022-01-08;68;0;0;0;37;False
2022-01-09;46;0;0;0;29;False
2022-01-10;76;0;0;0;50;False
2022-01-11;58;0;0;0;41;False
2022-01-12;58;6;4;0;35;False
2022-01-13;74;0;3;0;52;False
2022-01-14;54;3;0;0;44;False
2022-01-15;61;0;0;0;34;False
2022-01-16;82;0;4;0;37;False
2022-01-17;81;0;3;0;34;False
2022-01-18;48;0;3;3;31;False
2022-01-19;39;0;0;2;39;False
2022-01-20;48;3;0;0;28;False
2022-01-21;69;0;0;0;20;False
2022-01-22;53;3;0;0;28;False
2022-01-23;72;0;0;0;36;False
2022-01-24;100;0;4;0;51;False
2022-01-25;64;0;3;0;26;False
2022-01-26;54;0;0;0;33;False
2022-01-27;49;0;4;3;37;False
2022-01-28;49;0;0;0;26;False
2022-01-29;56;0;4;0;31;False
2022-01-30;57;0;4;0;37;False
2022-01-31;63;10;4;0;43;False
