date;Conducting;Tahiti;French Polynesia;Running holidays;air travel;isPartial
2022-01-01;4;14;2;0;16;False
2022-01-02;5;16;2;7;30;False
2022-01-03;7;24;8;5;24;False
2022-01-04;12;16;3;0;25;False
2022-01-05;0;16;0;0;36;False
2022-01-06;13;5;8;3;29;False
2022-01-07;6;14;2;0;30;False
2022-01-08;0;15;15;0;34;False
2022-01-09;0;11;2;3;26;False
2022-01-10;6;11;9;3;46;False
2022-01-11;8;11;0;0;37;False
2022-01-12;12;16;0;0;32;False
2022-01-13;8;88;100;2;47;False
2022-01-14;5;24;14;0;40;False
2022-01-15;4;29;13;0;31;False
2022-01-16;9;37;28;6;34;False
2022-01-17;7;15;7;4;31;False
2022-01-18;2;10;5;0;28;False
2022-01-19;10;13;6;0;35;False
2022-01-20;7;49;0;0;25;False
2022-01-21;6;18;7;0;18;False
2022-01-22;6;19;5;5;25;False
2022-01-23;4;18;6;3;32;False
2022-01-24;15;16;7;0;46;False
2022-01-25;9;15;3;0;23;False
2022-01-26;10;15;0;0;30;False
2022-01-27;8;13;0;0;34;False
2022-01-28;6;7;2;0;23;False
2022-01-29;5;12;2;2;28;False
2022-01-30;3;10;4;0;34;False
2022-01-31;8;12;5;0;39;False
