date;Automotive industry;Electric, hybrid and low-emission cars;Hillsong Church;E-commerce;air travel;isPartial
2022-01-01;6;0;5;0;33;False
2022-01-02;7;0;12;0;80;False
2022-01-03;7;0;11;21;53;False
2022-01-04;10;0;0;0;62;False
2022-01-05;17;0;0;6;94;False
2022-01-06;7;0;0;16;72;False
2022-01-07;9;0;7;24;86;False
2022-01-08;15;0;0;17;75;False
2022-01-09;17;0;10;28;58;False
2022-01-10;7;0;0;24;100;False
2022-01-11;0;0;5;35;78;False
2022-01-12;25;0;19;20;86;False
2022-01-13;0;0;12;24;99;False
2022-01-14;0;0;0;13;95;False
2022-01-15;15;0;0;0;89;False
2022-01-16;23;0;15;9;93;False
2022-01-17;13;0;0;23;65;False
2022-01-18;6;0;0;24;78;False
2022-01-19;0;0;0;22;83;False
2022-01-20;6;0;0;14;47;False
2022-01-21;5;0;7;17;44;False
2022-01-22;0;0;0;8;64;False
2022-01-23;10;0;0;23;81;False
2022-01-24;9;0;0;44;88;False
2022-01-25;0;0;0;16;61;False
2022-01-26;10;0;0;28;78;False
2022-01-27;9;0;6;24;67;False
2022-01-28;0;0;0;26;63;False
2022-01-29;6;0;5;0;47;False
2022-01-30;0;0;37;9;86;False
2022-01-31;0;0;0;15;96;False
