date;Performance art;Norfolk;Suffolk;Arts policy;air travel;isPartial
2022-01-01;0;84;53;1;3;False
2022-01-02;0;84;53;1;6;False
2022-01-03;1;84;55;1;5;False
2022-01-04;0;79;58;0;5;False
2022-01-05;1;84;64;0;7;False
2022-01-06;0;73;54;0;5;False
2022-01-07;0;82;57;0;6;False
2022-01-08;1;78;65;1;6;False
2022-01-09;0;86;61;0;5;False
2022-01-10;1;84;64;1;9;False
2022-01-11;0;81;65;0;7;False
2022-01-12;0;75;63;0;6;False
2022-01-13;0;92;75;0;9;False
2022-01-14;0;90;54;0;7;False
2022-01-15;2;91;55;0;6;False
2022-01-16;1;100;57;0;6;False
2022-01-17;0;97;68;0;6;False
2022-01-18;1;85;56;0;5;False
2022-01-19;0;83;57;0;7;False
2022-01-20;0;79;47;0;5;False
2022-01-21;0;79;54;1;3;False
2022-01-22;0;88;46;0;5;False
2022-01-23;1;87;54;0;6;False
2022-01-24;0;98;67;0;9;False
2022-01-25;1;83;58;1;4;False
2022-01-26;0;81;60;0;6;False
2022-01-27;1;69;59;0;6;False
2022-01-28;1;82;55;0;4;False
2022-01-29;1;85;52;0;5;False
2022-01-30;0;82;53;0;6;False
2022-01-31;0;87;59;0;7;False
