date;NBC Universal;Geoff Hoon;Peter Goldsmith;Curve theatre;air travel;isPartial
2022-01-01;13;0;0;6;34;False
2022-01-02;0;0;0;0;63;False
2022-01-03;0;0;0;14;51;False
2022-01-04;0;8;0;0;54;False
2022-01-05;0;32;0;9;77;False
2022-01-06;0;11;5;9;61;False
2022-01-07;0;4;10;11;63;False
2022-01-08;0;5;0;13;71;False
2022-01-09;0;0;5;0;55;False
2022-01-10;15;0;5;9;97;False
2022-01-11;0;0;0;0;79;False
2022-01-12;0;0;13;7;67;False
2022-01-13;0;0;0;16;100;False
2022-01-14;0;8;0;6;84;False
2022-01-15;8;0;0;0;66;False
2022-01-16;10;0;0;10;72;False
2022-01-17;0;0;8;6;65;False
2022-01-18;0;0;4;12;59;False
2022-01-19;4;13;6;15;74;False
2022-01-20;7;6;0;0;54;False
2022-01-21;12;0;0;5;38;False
2022-01-22;0;0;0;7;53;False
2022-01-23;0;0;0;0;69;False
2022-01-24;4;0;0;18;97;False
2022-01-25;4;0;0;24;49;False
2022-01-26;0;0;0;8;64;False
2022-01-27;0;5;0;22;71;False
2022-01-28;10;5;0;11;49;False
2022-01-29;0;0;0;35;60;False
2022-01-30;8;0;0;11;71;False
2022-01-31;0;5;0;7;82;False
