date;retail;alec baldwin;roads;daily climate show;air travel;isPartial
2022-01-01;84;4;17;0;3;False
2022-01-02;74;4;21;0;7;False
2022-01-03;86;5;16;0;7;False
2022-01-04;87;6;19;0;7;False
2022-01-05;84;4;19;0;9;False
2022-01-06;77;4;18;0;7;False
2022-01-07;81;4;25;0;8;False
2022-01-08;89;8;17;0;8;False
2022-01-09;83;4;22;0;6;False
2022-01-10;79;5;20;0;10;False
2022-01-11;84;4;20;0;8;False
2022-01-12;79;5;21;0;9;False
2022-01-13;84;7;24;0;9;False
2022-01-14;76;5;18;0;10;False
2022-01-15;76;7;18;0;8;False
2022-01-16;77;3;23;0;9;False
2022-01-17;79;2;23;0;7;False
2022-01-18;75;5;22;0;7;False
2022-01-19;73;3;16;0;9;False
2022-01-20;76;5;21;0;4;False
2022-01-21;74;5;20;0;3;False
2022-01-22;78;6;26;0;8;False
2022-01-23;70;3;23;0;9;False
2022-01-24;100;5;24;0;9;False
2022-01-25;71;2;19;0;6;False
2022-01-26;83;4;21;0;7;False
2022-01-27;71;2;19;0;6;False
2022-01-28;75;3;22;0;5;False
2022-01-29;75;3;28;0;6;False
2022-01-30;73;5;25;0;7;False
2022-01-31;85;3;26;0;10;False
