date;Frank Capra;Naomi Klein;Joseph Beuys;Cold war;air travel;isPartial
2022-01-01;0;4;0;100;21;False
2022-01-02;0;0;0;65;38;False
2022-01-03;0;0;0;69;31;False
2022-01-04;0;0;0;71;33;False
2022-01-05;0;0;0;69;47;False
2022-01-06;0;0;0;80;37;False
2022-01-07;0;0;0;63;39;False
2022-01-08;7;0;4;59;44;False
2022-01-09;0;3;0;65;34;False
2022-01-10;0;0;0;61;59;False
2022-01-11;5;0;0;74;48;False
2022-01-12;0;3;0;74;41;False
2022-01-13;0;0;10;65;61;False
2022-01-14;0;0;0;67;51;False
2022-01-15;4;0;0;85;41;False
2022-01-16;0;0;0;98;44;False
2022-01-17;0;0;4;69;40;False
2022-01-18;0;0;0;73;36;False
2022-01-19;0;3;0;53;46;False
2022-01-20;0;0;6;61;33;False
2022-01-21;0;0;0;80;23;False
2022-01-22;0;0;0;71;33;False
2022-01-23;0;3;0;75;42;False
2022-01-24;0;5;0;88;60;False
2022-01-25;0;3;7;76;30;False
2022-01-26;3;0;0;79;39;False
2022-01-27;0;3;0;66;44;False
2022-01-28;0;5;0;66;30;False
2022-01-29;0;0;0;70;37;False
2022-01-30;0;0;0;79;44;False
2022-01-31;0;0;0;55;51;False
