date;Ligue 1;RuPaul;Belgium holidays;Zoos;air travel;isPartial
2022-01-01;33;31;0;18;14;False
2022-01-02;31;16;0;17;26;False
2022-01-03;33;18;3;19;21;False
2022-01-04;36;20;0;11;22;False
2022-01-05;16;23;4;11;32;False
2022-01-06;23;21;2;7;25;False
2022-01-07;39;35;0;9;26;False
2022-01-08;56;96;0;11;29;False
2022-01-09;100;46;0;12;23;False
2022-01-10;54;26;0;10;40;False
2022-01-11;32;27;0;16;33;False
2022-01-12;21;30;2;14;28;False
2022-01-13;16;22;0;12;41;False
2022-01-14;42;30;0;10;35;False
2022-01-15;68;44;0;20;27;False
2022-01-16;91;36;0;21;30;False
2022-01-17;34;77;0;16;27;False
2022-01-18;28;28;0;17;24;False
2022-01-19;33;14;0;13;31;False
2022-01-20;19;16;0;8;22;False
2022-01-21;35;27;0;19;16;False
2022-01-22;58;31;0;16;22;False
2022-01-23;96;26;0;20;28;False
2022-01-24;38;20;4;19;40;False
2022-01-25;24;22;2;17;20;False
2022-01-26;26;21;4;16;26;False
2022-01-27;23;18;0;17;30;False
2022-01-28;31;21;0;18;20;False
2022-01-29;29;31;0;9;25;False
2022-01-30;30;25;0;20;30;False
2022-01-31;38;25;0;10;34;False
