date;Insects;Endangered species;Rewilding;George Floyd;air travel;isPartial
2022-01-01;24;0;6;24;20;False
2022-01-02;45;0;11;16;37;False
2022-01-03;46;10;0;13;30;False
2022-01-04;42;0;0;15;32;False
2022-01-05;48;5;5;100;45;False
2022-01-06;30;10;18;85;36;False
2022-01-07;35;9;16;67;37;False
2022-01-08;30;0;14;57;42;False
2022-01-09;52;3;5;6;32;False
2022-01-10;38;9;10;17;57;False
2022-01-11;27;9;6;14;46;False
2022-01-12;43;3;8;25;39;False
2022-01-13;44;10;8;22;59;False
2022-01-14;34;0;0;21;49;False
2022-01-15;37;3;4;18;39;False
2022-01-16;53;9;10;13;42;False
2022-01-17;46;5;9;22;38;False
2022-01-18;28;7;6;8;35;False
2022-01-19;36;0;0;14;44;False
2022-01-20;45;7;12;16;32;False
2022-01-21;35;0;6;24;22;False
2022-01-22;37;3;8;14;31;False
2022-01-23;49;5;11;17;40;False
2022-01-24;52;7;11;17;57;False
2022-01-25;25;14;17;11;29;False
2022-01-26;44;4;8;11;37;False
2022-01-27;44;6;4;8;42;False
2022-01-28;42;5;5;10;29;False
2022-01-29;37;6;10;11;35;False
2022-01-30;34;2;6;10;42;False
2022-01-31;47;6;9;16;48;False
