date;The Bible;Rembrandt;Naomi Osaka;Alexander Zverev;air travel;isPartial
2022-01-01;58;6;3;2;6;False
2022-01-02;73;2;2;0;12;False
2022-01-03;62;3;0;1;10;False
2022-01-04;75;3;5;0;10;False
2022-01-05;71;3;4;0;14;False
2022-01-06;57;4;4;3;11;False
2022-01-07;67;3;3;0;12;False
2022-01-08;68;5;7;0;13;False
2022-01-09;74;3;3;0;10;False
2022-01-10;81;4;1;0;18;False
2022-01-11;77;3;2;2;15;False
2022-01-12;71;2;1;0;12;False
2022-01-13;63;3;2;0;19;False
2022-01-14;64;4;3;3;16;False
2022-01-15;71;4;2;0;12;False
2022-01-16;100;6;5;0;13;False
2022-01-17;76;6;10;5;12;False
2022-01-18;59;3;5;3;11;False
2022-01-19;62;4;10;4;14;False
2022-01-20;62;3;5;1;10;False
2022-01-21;55;4;20;6;7;False
2022-01-22;63;4;5;2;10;False
2022-01-23;84;4;1;6;13;False
2022-01-24;73;4;2;0;18;False
2022-01-25;68;3;1;0;9;False
2022-01-26;58;4;1;1;12;False
2022-01-27;63;4;4;0;13;False
2022-01-28;65;6;1;2;9;False
2022-01-29;81;9;0;0;11;False
2022-01-30;70;4;4;2;13;False
2022-01-31;68;4;1;1;15;False
