date;Wasps;Gurkhas;Kenny Wheeler;Antony Jenkins;air travel;isPartial
2022-01-01;29;2;0;0;8;False
2022-01-02;18;3;0;0;15;False
2022-01-03;19;0;0;0;12;False
2022-01-04;15;0;0;0;13;False
2022-01-05;17;0;0;0;18;False
2022-01-06;12;0;0;0;14;False
2022-01-07;18;0;0;0;15;False
2022-01-08;21;2;1;0;17;False
2022-01-09;99;0;0;0;13;False
2022-01-10;22;1;0;0;23;False
2022-01-11;12;1;0;0;18;False
2022-01-12;15;2;0;0;16;False
2022-01-13;15;3;0;0;23;False
2022-01-14;18;2;2;0;20;False
2022-01-15;100;0;0;2;16;False
2022-01-16;22;3;0;2;17;False
2022-01-17;13;0;0;1;15;False
2022-01-18;19;0;0;0;14;False
2022-01-19;20;0;3;0;17;False
2022-01-20;11;1;0;0;13;False
2022-01-21;15;0;1;0;9;False
2022-01-22;19;0;2;0;12;False
2022-01-23;46;1;0;0;16;False
2022-01-24;21;2;1;0;23;False
2022-01-25;15;2;0;1;12;False
2022-01-26;18;2;0;0;15;False
2022-01-27;22;2;0;0;17;False
2022-01-28;21;1;0;2;12;False
2022-01-29;22;2;6;0;14;False
2022-01-30;63;0;0;0;17;False
2022-01-31;15;0;1;0;19;False
