date;flooding;uk weather;papua new guinea;coral reef;air travel;isPartial
2022-01-01;3;70;0;3;2;False
2022-01-02;4;96;1;3;4;False
2022-01-03;5;80;1;3;3;False
2022-01-04;4;89;1;3;4;False
2022-01-05;6;89;1;3;5;False
2022-01-06;4;100;1;2;4;False
2022-01-07;4;93;1;2;4;False
2022-01-08;5;88;1;4;5;False
2022-01-09;4;63;1;3;4;False
2022-01-10;4;57;1;3;6;False
2022-01-11;5;51;0;1;5;False
2022-01-12;4;52;1;3;5;False
2022-01-13;3;55;1;3;7;False
2022-01-14;3;52;1;3;6;False
2022-01-15;3;65;1;3;4;False
2022-01-16;4;71;2;3;5;False
2022-01-17;4;62;1;1;4;False
2022-01-18;4;62;1;2;4;False
2022-01-19;4;52;1;2;5;False
2022-01-20;4;50;1;4;4;False
2022-01-21;3;52;1;5;3;False
2022-01-22;3;51;1;4;4;False
2022-01-23;3;65;2;4;5;False
2022-01-24;5;57;1;2;7;False
2022-01-25;4;51;1;2;3;False
2022-01-26;4;53;1;4;4;False
2022-01-27;4;50;1;3;5;False
2022-01-28;4;65;1;3;3;False
2022-01-29;5;84;1;4;4;False
2022-01-30;4;79;2;4;5;False
2022-01-31;5;62;2;3;6;False
