date;Mark Zuckerberg;Facebook;Meta;Virtual reality;air travel;isPartial
2022-01-01;0;97;1;0;0;False
2022-01-02;0;92;1;0;0;False
2022-01-03;0;85;1;0;0;False
2022-01-04;0;94;1;0;0;False
2022-01-05;0;89;2;0;0;False
2022-01-06;0;84;1;0;0;False
2022-01-07;0;90;2;0;0;False
2022-01-08;0;84;1;0;0;False
2022-01-09;0;82;1;0;0;False
2022-01-10;0;89;1;0;1;False
2022-01-11;0;89;1;0;0;False
2022-01-12;0;80;1;0;0;False
2022-01-13;0;92;1;0;0;False
2022-01-14;0;88;1;0;0;False
2022-01-15;0;89;1;0;0;False
2022-01-16;0;93;1;0;0;False
2022-01-17;0;77;1;0;0;False
2022-01-18;0;79;1;0;0;False
2022-01-19;0;78;1;0;0;False
2022-01-20;0;79;1;0;0;False
2022-01-21;0;87;1;0;0;False
2022-01-22;0;93;1;0;0;False
2022-01-23;0;85;1;0;0;False
2022-01-24;0;100;2;0;1;False
2022-01-25;0;82;1;0;0;False
2022-01-26;0;78;2;0;0;False
2022-01-27;0;79;1;0;0;False
2022-01-28;0;83;1;0;0;False
2022-01-29;0;89;1;0;0;False
2022-01-30;0;96;1;0;0;False
2022-01-31;0;95;1;0;0;False
