date;Hobart;Alphabet;Guatemala;Dementia;air travel;isPartial
2022-01-01;6;69;6;57;6;False
2022-01-02;7;69;5;60;11;False
2022-01-03;5;70;8;61;9;False
2022-01-04;4;86;6;71;10;False
2022-01-05;5;94;2;88;14;False
2022-01-06;2;71;6;75;11;False
2022-01-07;7;100;3;88;11;False
2022-01-08;6;82;6;64;13;False
2022-01-09;15;77;5;69;10;False
2022-01-10;14;100;5;89;17;False
2022-01-11;8;90;6;76;14;False
2022-01-12;8;90;5;84;12;False
2022-01-13;19;81;5;90;18;False
2022-01-14;34;69;7;70;15;False
2022-01-15;29;64;5;66;12;False
2022-01-16;19;78;6;72;13;False
2022-01-17;2;78;12;77;12;False
2022-01-18;8;86;8;80;11;False
2022-01-19;4;73;3;84;13;False
2022-01-20;8;75;6;77;10;False
2022-01-21;4;65;5;76;7;False
2022-01-22;4;60;3;64;10;False
2022-01-23;3;67;6;64;12;False
2022-01-24;4;82;9;85;18;False
2022-01-25;4;70;7;83;9;False
2022-01-26;4;84;5;88;12;False
2022-01-27;4;80;3;72;13;False
2022-01-28;5;80;4;75;9;False
2022-01-29;2;70;4;62;11;False
2022-01-30;4;59;5;67;13;False
2022-01-31;4;87;6;74;15;False
