date;Biloela family;Paul Keating;Steve Smith;Tonga volcano;air travel;isPartial
2022-01-01;0;0;2;0;4;False
2022-01-02;0;0;2;0;7;False
2022-01-03;0;0;2;0;6;False
2022-01-04;0;0;2;0;6;False
2022-01-05;0;2;2;0;9;False
2022-01-06;0;0;4;0;7;False
2022-01-07;0;0;2;0;7;False
2022-01-08;0;0;3;0;8;False
2022-01-09;0;0;2;0;6;False
2022-01-10;0;0;2;0;11;False
2022-01-11;0;0;1;1;9;False
2022-01-12;0;0;3;0;8;False
2022-01-13;0;0;2;1;11;False
2022-01-14;0;0;2;0;10;False
2022-01-15;0;0;2;100;8;False
2022-01-16;0;0;3;75;8;False
2022-01-17;0;0;1;60;7;False
2022-01-18;0;0;1;45;7;False
2022-01-19;0;0;1;19;8;False
2022-01-20;0;0;1;21;6;False
2022-01-21;0;1;1;12;4;False
2022-01-22;0;1;3;8;6;False
2022-01-23;1;0;2;8;8;False
2022-01-24;0;5;1;10;11;False
2022-01-25;0;0;2;5;6;False
2022-01-26;0;1;1;3;7;False
2022-01-27;0;0;1;4;8;False
2022-01-28;0;0;2;1;6;False
2022-01-29;0;0;2;2;7;False
2022-01-30;0;0;0;1;8;False
2022-01-31;0;0;1;3;9;False
