date;Margaret Thatcher;Anglicanism;Australian theatre;Centrelink;air travel;isPartial
2022-01-01;84;0;0;0;34;False
2022-01-02;52;0;0;0;63;False
2022-01-03;46;0;0;0;51;False
2022-01-04;63;10;0;0;54;False
2022-01-05;49;0;0;0;77;False
2022-01-06;42;0;0;0;61;False
2022-01-07;60;0;0;0;63;False
2022-01-08;70;0;0;0;71;False
2022-01-09;47;0;11;0;55;False
2022-01-10;76;18;0;10;97;False
2022-01-11;31;0;0;0;79;False
2022-01-12;53;11;0;0;67;False
2022-01-13;66;0;0;0;100;False
2022-01-14;48;0;0;0;84;False
2022-01-15;45;0;0;0;66;False
2022-01-16;47;0;8;0;72;False
2022-01-17;43;0;0;0;65;False
2022-01-18;55;0;5;0;59;False
2022-01-19;54;0;4;0;74;False
2022-01-20;57;5;6;0;54;False
2022-01-21;40;4;8;0;38;False
2022-01-22;46;0;0;0;53;False
2022-01-23;67;0;0;4;69;False
2022-01-24;65;0;6;0;97;False
2022-01-25;38;0;0;0;49;False
2022-01-26;67;0;0;0;64;False
2022-01-27;30;0;0;0;71;False
2022-01-28;52;0;0;6;49;False
2022-01-29;81;0;9;0;60;False
2022-01-30;49;0;0;7;71;False
2022-01-31;61;0;0;7;82;False
