date;X;Air transport;Internet;Social media;air travel;isPartial
2022-01-01;80;0;22;3;1;False
2022-01-02;84;0;24;4;1;False
2022-01-03;82;0;24;5;1;False
2022-01-04;80;0;30;7;1;False
2022-01-05;82;0;29;6;1;False
2022-01-06;81;0;28;6;1;False
2022-01-07;81;0;28;6;1;False
2022-01-08;83;0;26;5;1;False
2022-01-09;98;0;26;5;1;False
2022-01-10;86;0;31;8;2;False
2022-01-11;82;0;28;7;1;False
2022-01-12;81;0;28;7;1;False
2022-01-13;90;0;32;6;1;False
2022-01-14;75;0;27;6;1;False
2022-01-15;89;0;25;4;1;False
2022-01-16;100;0;28;5;1;False
2022-01-17;79;0;28;6;1;False
2022-01-18;82;0;27;6;1;False
2022-01-19;74;0;27;6;1;False
2022-01-20;79;0;26;5;1;False
2022-01-21;80;0;28;5;1;False
2022-01-22;89;0;26;4;1;False
2022-01-23;93;0;24;5;1;False
2022-01-24;99;0;31;8;1;False
2022-01-25;83;0;27;6;1;False
2022-01-26;80;0;29;6;1;False
2022-01-27;78;0;26;6;1;False
2022-01-28;80;0;27;6;1;False
2022-01-29;95;0;26;3;1;False
2022-01-30;83;0;26;4;1;False
2022-01-31;81;0;30;7;1;False
