date;Al Jazeera;Moazzam Begg;Passport Office;Meningitis;air travel;isPartial
2022-01-01;25;2;20;40;17;False
2022-01-02;17;2;19;39;31;False
2022-01-03;22;0;28;42;26;False
2022-01-04;22;0;65;64;27;False
2022-01-05;18;6;59;48;38;False
2022-01-06;28;0;51;45;30;False
2022-01-07;35;0;43;44;31;False
2022-01-08;26;0;45;38;35;False
2022-01-09;15;0;39;48;27;False
2022-01-10;12;0;77;43;48;False
2022-01-11;27;0;77;43;39;False
2022-01-12;17;0;73;52;34;False
2022-01-13;22;0;68;51;50;False
2022-01-14;22;0;55;49;42;False
2022-01-15;24;0;42;51;33;False
2022-01-16;34;0;23;44;36;False
2022-01-17;29;0;90;57;32;False
2022-01-18;27;3;65;63;29;False
2022-01-19;19;0;58;86;37;False
2022-01-20;24;4;73;56;27;False
2022-01-21;34;0;62;54;19;False
2022-01-22;21;6;36;41;26;False
2022-01-23;23;0;29;47;34;False
2022-01-24;33;0;100;74;48;False
2022-01-25;22;2;82;47;25;False
2022-01-26;22;0;89;47;32;False
2022-01-27;24;5;90;54;36;False
2022-01-28;21;0;89;44;25;False
2022-01-29;22;3;56;37;30;False
2022-01-30;19;0;44;50;36;False
2022-01-31;33;0;93;51;41;False
