date;british airways;alexei navalny;belarus;david attenborough;air travel;isPartial
2022-01-01;61;0;2;17;2;False
2022-01-02;73;0;1;8;4;False
2022-01-03;76;0;2;26;4;False
2022-01-04;86;0;3;13;4;False
2022-01-05;75;0;2;15;5;False
2022-01-06;81;0;2;8;4;False
2022-01-07;78;0;2;9;4;False
2022-01-08;89;0;2;8;5;False
2022-01-09;94;1;3;47;4;False
2022-01-10;99;0;3;19;7;False
2022-01-11;85;0;3;12;5;False
2022-01-12;80;0;3;13;5;False
2022-01-13;82;1;3;9;7;False
2022-01-14;69;0;2;8;6;False
2022-01-15;76;0;2;9;5;False
2022-01-16;100;0;2;38;5;False
2022-01-17;86;0;3;13;4;False
2022-01-18;83;1;4;9;4;False
2022-01-19;73;1;5;7;5;False
2022-01-20;74;0;4;6;4;False
2022-01-21;65;1;5;10;3;False
2022-01-22;72;0;2;9;4;False
2022-01-23;92;0;4;31;5;False
2022-01-24;98;0;6;10;7;False
2022-01-25;85;0;6;8;3;False
2022-01-26;65;0;4;8;4;False
2022-01-27;60;0;4;7;5;False
2022-01-28;60;1;4;8;3;False
2022-01-29;65;0;4;8;4;False
2022-01-30;69;0;2;37;5;False
2022-01-31;78;0;3;10;6;False
