date;US unions;Bobsleigh;Salvador Dalí;National lottery;air travel;isPartial
2022-01-01;0;0;0;100;1;False
2022-01-02;0;0;0;66;2;False
2022-01-03;0;1;0;34;2;False
2022-01-04;0;0;0;44;2;False
2022-01-05;0;0;0;59;3;False
2022-01-06;0;0;1;49;2;False
2022-01-07;0;0;0;53;2;False
2022-01-08;0;0;0;82;3;False
2022-01-09;0;0;0;61;2;False
2022-01-10;0;0;0;33;4;False
2022-01-11;0;0;0;44;3;False
2022-01-12;0;0;0;65;3;False
2022-01-13;0;0;0;60;4;False
2022-01-14;0;0;0;58;3;False
2022-01-15;0;0;0;100;3;False
2022-01-16;0;1;0;81;3;False
2022-01-17;0;1;0;39;3;False
2022-01-18;0;1;0;50;2;False
2022-01-19;0;0;0;62;3;False
2022-01-20;0;2;0;51;2;False
2022-01-21;0;1;0;77;1;False
2022-01-22;0;0;0;96;2;False
2022-01-23;0;1;0;55;3;False
2022-01-24;0;0;0;35;4;False
2022-01-25;0;1;0;40;2;False
2022-01-26;0;1;0;58;2;False
2022-01-27;0;0;0;50;3;False
2022-01-28;0;1;0;54;2;False
2022-01-29;0;1;0;95;2;False
2022-01-30;0;0;0;65;3;False
2022-01-31;0;0;0;36;3;False
