date;Asghar Farhadi;Beach Boys;Brian Wilson;Pixies;air travel;isPartial
2022-01-01;0;13;10;10;14;False
2022-01-02;8;8;0;5;26;False
2022-01-03;0;7;3;14;22;False
2022-01-04;0;9;0;2;23;False
2022-01-05;0;9;0;10;32;False
2022-01-06;0;10;0;4;26;False
2022-01-07;0;13;0;13;27;False
2022-01-08;0;27;8;11;30;False
2022-01-09;0;16;0;6;23;False
2022-01-10;0;19;0;11;41;False
2022-01-11;0;7;2;14;33;False
2022-01-12;0;8;0;9;28;False
2022-01-13;0;13;9;7;42;False
2022-01-14;0;9;4;18;35;False
2022-01-15;3;7;0;7;28;False
2022-01-16;2;11;0;17;30;False
2022-01-17;0;5;4;9;27;False
2022-01-18;4;5;0;11;25;False
2022-01-19;5;16;6;10;31;False
2022-01-20;0;10;0;7;23;False
2022-01-21;4;11;7;10;16;False
2022-01-22;3;55;3;12;22;False
2022-01-23;2;23;9;5;29;False
2022-01-24;0;51;100;9;41;False
2022-01-25;0;11;9;6;21;False
2022-01-26;0;13;7;11;27;False
2022-01-27;0;18;3;6;30;False
2022-01-28;0;23;2;10;21;False
2022-01-29;0;18;7;10;25;False
2022-01-30;0;10;2;5;30;False
2022-01-31;0;7;9;3;35;False
