date;Next;Ikea;Management;Notts County;air travel;isPartial
2022-01-01;93;59;10;1;0;False
2022-01-02;96;75;11;3;1;False
2022-01-03;100;66;14;1;1;False
2022-01-04;85;48;21;1;1;False
2022-01-05;79;41;20;1;1;False
2022-01-06;75;39;21;1;1;False
2022-01-07;82;40;19;1;1;False
2022-01-08;93;68;14;2;1;False
2022-01-09;95;65;14;1;1;False
2022-01-10;78;48;24;1;1;False
2022-01-11;71;38;23;2;1;False
2022-01-12;73;39;23;1;1;False
2022-01-13;93;39;25;1;1;False
2022-01-14;69;36;19;1;1;False
2022-01-15;88;63;15;3;1;False
2022-01-16;95;61;15;1;1;False
2022-01-17;79;44;23;1;1;False
2022-01-18;71;38;22;1;1;False
2022-01-19;70;32;21;1;1;False
2022-01-20;83;35;21;1;1;False
2022-01-21;69;37;19;2;0;False
2022-01-22;82;52;13;1;1;False
2022-01-23;84;62;13;1;1;False
2022-01-24;83;45;26;1;1;False
2022-01-25;72;35;21;2;1;False
2022-01-26;68;33;23;1;1;False
2022-01-27;72;35;20;0;1;False
2022-01-28;74;37;20;1;1;False
2022-01-29;83;59;11;2;1;False
2022-01-30;81;56;12;1;1;False
2022-01-31;79;40;21;1;1;False
