date;Milk;Coffee;Beef;Commodities;air travel;isPartial
2022-01-01;59;90;80;1;1;False
2022-01-02;64;95;65;0;2;False
2022-01-03;66;91;49;1;2;False
2022-01-04;66;85;43;1;2;False
2022-01-05;61;78;41;0;2;False
2022-01-06;59;76;38;1;2;False
2022-01-07;60;76;42;1;2;False
2022-01-08;66;100;60;0;2;False
2022-01-09;77;100;72;0;2;False
2022-01-10;74;83;41;1;3;False
2022-01-11;60;78;39;1;2;False
2022-01-12;60;79;39;1;2;False
2022-01-13;67;84;40;1;3;False
2022-01-14;57;76;34;1;3;False
2022-01-15;71;98;57;0;2;False
2022-01-16;73;98;73;0;2;False
2022-01-17;59;77;41;0;2;False
2022-01-18;59;72;35;1;2;False
2022-01-19;52;73;33;0;2;False
2022-01-20;57;69;35;1;2;False
2022-01-21;56;74;36;1;1;False
2022-01-22;62;90;50;0;2;False
2022-01-23;64;98;64;0;2;False
2022-01-24;68;86;43;1;3;False
2022-01-25;57;74;34;0;2;False
2022-01-26;61;71;36;1;2;False
2022-01-27;58;70;33;1;2;False
2022-01-28;59;75;37;1;2;False
2022-01-29;62;87;51;0;2;False
2022-01-30;63;83;58;0;2;False
2022-01-31;61;76;37;1;3;False
