date;New York Giants;Thailand;World Cup;Colombia;air travel;isPartial
2022-01-01;0;55;73;16;4;False
2022-01-02;3;62;65;21;7;False
2022-01-03;1;64;52;14;6;False
2022-01-04;2;66;50;15;6;False
2022-01-05;0;62;56;17;8;False
2022-01-06;2;51;52;17;7;False
2022-01-07;0;62;51;19;7;False
2022-01-08;1;63;65;21;8;False
2022-01-09;4;65;69;20;6;False
2022-01-10;2;58;64;18;11;False
2022-01-11;0;55;52;18;9;False
2022-01-12;2;54;50;18;7;False
2022-01-13;0;52;57;16;11;False
2022-01-14;3;40;57;17;9;False
2022-01-15;0;69;71;20;7;False
2022-01-16;3;64;80;25;8;False
2022-01-17;1;55;63;18;7;False
2022-01-18;1;53;58;15;6;False
2022-01-19;1;50;68;19;8;False
2022-01-20;0;56;75;18;6;False
2022-01-21;0;53;61;16;4;False
2022-01-22;0;74;95;16;6;False
2022-01-23;2;83;91;22;8;False
2022-01-24;0;66;77;19;11;False
2022-01-25;1;54;68;17;5;False
2022-01-26;1;54;75;19;7;False
2022-01-27;0;50;78;17;8;False
2022-01-28;0;51;98;59;5;False
2022-01-29;1;55;100;34;7;False
2022-01-30;1;56;86;18;8;False
2022-01-31;1;58;76;19;9;False
