date;Billy Bragg;Atlético Madrid;Hunting;RSPB;air travel;isPartial
2022-01-01;1;5;40;19;5;False
2022-01-02;0;5;44;24;9;False
2022-01-03;0;0;35;19;8;False
2022-01-04;0;0;28;17;8;False
2022-01-05;8;0;37;19;11;False
2022-01-06;1;5;25;19;9;False
2022-01-07;0;0;27;15;9;False
2022-01-08;2;0;32;21;11;False
2022-01-09;1;3;39;25;8;False
2022-01-10;0;1;25;19;14;False
2022-01-11;1;0;31;15;12;False
2022-01-12;1;0;26;20;10;False
2022-01-13;0;4;26;21;15;False
2022-01-14;1;0;30;18;12;False
2022-01-15;2;0;32;31;10;False
2022-01-16;0;2;38;27;11;False
2022-01-17;1;0;31;21;10;False
2022-01-18;0;0;30;22;9;False
2022-01-19;0;2;26;16;11;False
2022-01-20;0;1;24;25;8;False
2022-01-21;2;0;29;25;6;False
2022-01-22;1;5;32;26;8;False
2022-01-23;0;7;39;34;10;False
2022-01-24;6;0;35;22;14;False
2022-01-25;0;0;32;23;7;False
2022-01-26;1;0;33;22;9;False
2022-01-27;2;1;24;25;11;False
2022-01-28;1;0;32;74;7;False
2022-01-29;1;1;35;66;9;False
2022-01-30;0;0;43;100;11;False
2022-01-31;0;1;30;46;12;False
