date;El Salvador;Halfords;Johannes Brahms;Kiefer Sutherland;air travel;isPartial
2022-01-01;1;90;0;1;2;False
2022-01-02;1;98;0;1;4;False
2022-01-03;2;96;0;1;3;False
2022-01-04;2;84;0;0;3;False
2022-01-05;1;85;0;2;5;False
2022-01-06;1;66;0;1;4;False
2022-01-07;1;76;0;0;4;False
2022-01-08;1;90;0;3;5;False
2022-01-09;2;88;0;1;3;False
2022-01-10;1;77;0;2;6;False
2022-01-11;2;70;0;1;5;False
2022-01-12;1;74;0;1;4;False
2022-01-13;1;78;0;0;6;False
2022-01-14;1;71;0;1;5;False
2022-01-15;1;100;0;2;4;False
2022-01-16;1;96;0;2;5;False
2022-01-17;1;78;0;1;4;False
2022-01-18;2;75;0;2;4;False
2022-01-19;1;69;0;1;5;False
2022-01-20;2;70;0;0;3;False
2022-01-21;2;74;0;15;2;False
2022-01-22;3;98;1;7;3;False
2022-01-23;3;82;0;8;4;False
2022-01-24;2;84;0;2;6;False
2022-01-25;3;72;0;2;3;False
2022-01-26;4;72;0;6;4;False
2022-01-27;2;69;0;6;5;False
2022-01-28;3;81;0;2;3;False
2022-01-29;2;97;0;1;4;False
2022-01-30;1;90;0;2;5;False
2022-01-31;3;85;0;0;5;False
