date;Thierry Henry;Skincare;Dallas Mavericks;Caribbean food and drink;air travel;isPartial
2022-01-01;11;80;4;0;11;False
2022-01-02;8;82;3;0;20;False
2022-01-03;4;90;4;0;16;False
2022-01-04;4;77;0;0;17;False
2022-01-05;5;75;3;0;25;False
2022-01-06;7;77;3;0;20;False
2022-01-07;8;75;2;0;20;False
2022-01-08;4;87;5;0;23;False
2022-01-09;9;93;4;0;18;False
2022-01-10;4;89;3;0;31;False
2022-01-11;5;84;2;0;25;False
2022-01-12;6;78;1;0;22;False
2022-01-13;5;77;4;0;32;False
2022-01-14;3;64;4;0;27;False
2022-01-15;8;77;3;0;21;False
2022-01-16;4;92;0;0;23;False
2022-01-17;6;67;2;0;21;False
2022-01-18;4;73;0;0;19;False
2022-01-19;4;92;3;0;24;False
2022-01-20;5;75;6;0;17;False
2022-01-21;7;63;3;0;12;False
2022-01-22;2;85;5;0;17;False
2022-01-23;5;90;0;0;22;False
2022-01-24;8;78;0;0;31;False
2022-01-25;10;71;1;0;16;False
2022-01-26;3;81;5;0;20;False
2022-01-27;6;63;3;0;23;False
2022-01-28;6;73;0;0;16;False
2022-01-29;7;99;2;0;19;False
2022-01-30;3;100;2;0;23;False
2022-01-31;4;83;6;0;26;False
