date;facebook;vienna;south dakota;anne sacoolas;air travel;isPartial
2022-01-01;100;3;0;0;0;False
2022-01-02;85;1;0;0;0;False
2022-01-03;80;1;0;0;0;False
2022-01-04;83;1;0;0;0;False
2022-01-05;83;1;0;0;0;False
2022-01-06;79;1;0;0;0;False
2022-01-07;81;1;0;0;0;False
2022-01-08;85;1;0;0;0;False
2022-01-09;79;1;0;0;0;False
2022-01-10;83;1;0;0;1;False
2022-01-11;82;1;0;0;0;False
2022-01-12;76;1;0;0;0;False
2022-01-13;84;1;0;0;1;False
2022-01-14;84;1;0;0;0;False
2022-01-15;91;1;0;0;0;False
2022-01-16;87;1;0;0;0;False
2022-01-17;82;1;0;0;0;False
2022-01-18;75;1;0;0;0;False
2022-01-19;72;1;0;0;0;False
2022-01-20;76;1;0;0;0;False
2022-01-21;77;1;0;0;0;False
2022-01-22;84;1;0;0;0;False
2022-01-23;76;1;0;0;0;False
2022-01-24;86;1;0;0;1;False
2022-01-25;78;1;0;0;0;False
2022-01-26;76;1;0;0;0;False
2022-01-27;75;1;0;0;0;False
2022-01-28;85;1;0;0;0;False
2022-01-29;84;1;0;0;0;False
2022-01-30;85;1;0;0;0;False
2022-01-31;85;1;0;0;0;False
