date;Swimming;Chat and messaging apps;Mikel Arteta;Baz Luhrmann;air travel;isPartial
2022-01-01;68;0;4;1;1;False
2022-01-02;82;0;1;1;3;False
2022-01-03;79;0;0;1;2;False
2022-01-04;78;0;1;0;2;False
2022-01-05;70;0;1;0;3;False
2022-01-06;66;0;0;1;2;False
2022-01-07;70;0;0;0;3;False
2022-01-08;84;0;0;0;3;False
2022-01-09;92;0;2;1;2;False
2022-01-10;80;0;0;0;4;False
2022-01-11;70;0;0;0;3;False
2022-01-12;72;0;0;0;3;False
2022-01-13;75;0;2;0;4;False
2022-01-14;69;0;1;1;3;False
2022-01-15;93;0;1;1;3;False
2022-01-16;100;0;0;0;3;False
2022-01-17;76;0;1;0;3;False
2022-01-18;66;0;0;0;2;False
2022-01-19;62;0;0;0;3;False
2022-01-20;61;0;0;0;2;False
2022-01-21;68;0;1;1;2;False
2022-01-22;87;0;0;0;2;False
2022-01-23;88;0;1;0;3;False
2022-01-24;82;0;0;0;4;False
2022-01-25;64;0;0;0;2;False
2022-01-26;67;0;0;1;3;False
2022-01-27;65;0;0;0;3;False
2022-01-28;70;0;0;0;2;False
2022-01-29;91;0;0;0;2;False
2022-01-30;91;0;0;0;3;False
2022-01-31;71;0;0;0;3;False
