date;Still Life;Eddie Marsan;Eminem;City mayors;air travel;isPartial
2022-01-01;11;0;96;0;11;False
2022-01-02;12;0;61;0;20;False
2022-01-03;12;0;68;2;17;False
2022-01-04;10;3;64;0;17;False
2022-01-05;11;3;68;0;25;False
2022-01-06;14;0;53;0;20;False
2022-01-07;15;2;71;0;20;False
2022-01-08;13;3;83;0;23;False
2022-01-09;13;9;62;0;18;False
2022-01-10;16;0;69;0;31;False
2022-01-11;10;0;56;0;25;False
2022-01-12;10;2;57;0;22;False
2022-01-13;13;0;64;0;32;False
2022-01-14;11;0;72;0;27;False
2022-01-15;18;3;92;0;21;False
2022-01-16;17;0;100;9;23;False
2022-01-17;14;0;68;0;21;False
2022-01-18;11;0;44;1;19;False
2022-01-19;15;0;62;0;24;False
2022-01-20;14;0;70;0;17;False
2022-01-21;16;0;76;0;12;False
2022-01-22;13;0;80;0;17;False
2022-01-23;17;2;74;0;22;False
2022-01-24;15;1;63;4;31;False
2022-01-25;14;1;61;0;16;False
2022-01-26;15;0;66;0;21;False
2022-01-27;15;0;76;3;23;False
2022-01-28;11;0;87;0;16;False
2022-01-29;11;0;89;0;19;False
2022-01-30;13;0;85;0;23;False
2022-01-31;7;3;58;0;27;False
