date;Programming;Patricia Lockwood;Stephen Merchant;Diane Morgan;air travel;isPartial
2022-01-01;26;2;23;8;9;False
2022-01-02;24;1;14;3;16;False
2022-01-03;31;0;69;2;13;False
2022-01-04;35;0;92;8;14;False
2022-01-05;40;0;100;17;20;False
2022-01-06;46;0;63;13;16;False
2022-01-07;39;0;59;9;16;False
2022-01-08;38;0;47;11;18;False
2022-01-09;32;2;47;6;14;False
2022-01-10;44;0;36;0;25;False
2022-01-11;48;0;25;7;20;False
2022-01-12;49;0;21;7;17;False
2022-01-13;49;0;20;8;26;False
2022-01-14;37;1;20;23;22;False
2022-01-15;29;0;25;35;17;False
2022-01-16;30;0;26;45;19;False
2022-01-17;54;0;13;39;17;False
2022-01-18;47;0;13;22;15;False
2022-01-19;41;0;13;25;19;False
2022-01-20;45;0;12;18;14;False
2022-01-21;46;0;15;17;10;False
2022-01-22;27;0;15;19;14;False
2022-01-23;37;0;14;16;18;False
2022-01-24;59;2;17;14;25;False
2022-01-25;47;0;9;17;13;False
2022-01-26;45;0;10;10;16;False
2022-01-27;43;0;8;12;18;False
2022-01-28;46;0;12;12;13;False
2022-01-29;26;0;12;15;15;False
2022-01-30;33;1;8;10;18;False
2022-01-31;51;0;14;8;21;False
