date;Africa Cup of Nations 2022;Egypt football team;Morocco football team;Africa Cup of Nations;air travel;isPartial
2022-01-01;8;0;0;28;9;False
2022-01-02;8;2;0;36;21;False
2022-01-03;5;0;0;19;14;False
2022-01-04;3;0;0;16;16;False
2022-01-05;5;0;0;23;24;False
2022-01-06;4;0;0;16;19;False
2022-01-07;2;2;3;17;22;False
2022-01-08;7;0;0;30;20;False
2022-01-09;16;7;0;93;15;False
2022-01-10;15;4;3;80;26;False
2022-01-11;16;8;1;84;20;False
2022-01-12;10;1;0;50;23;False
2022-01-13;6;0;0;42;26;False
2022-01-14;7;0;0;44;25;False
2022-01-15;8;3;1;57;23;False
2022-01-16;12;0;0;71;24;False
2022-01-17;5;0;1;35;17;False
2022-01-18;11;0;0;50;20;False
2022-01-19;3;0;0;40;22;False
2022-01-20;10;2;0;49;12;False
2022-01-21;5;0;0;26;12;False
2022-01-22;4;0;0;29;17;False
2022-01-23;11;2;3;64;21;False
2022-01-24;5;0;0;63;23;False
2022-01-25;6;0;6;54;16;False
2022-01-26;10;7;0;67;20;False
2022-01-27;3;0;0;24;18;False
2022-01-28;3;0;0;21;16;False
2022-01-29;9;0;0;65;12;False
2022-01-30;10;5;2;100;22;False
2022-01-31;4;0;0;24;25;False
