date;Constitution Hill;Nigel Farage;Police and crime commissioners;Ivo van Hove;air travel;isPartial
2022-01-01;0;28;0;3;21;False
2022-01-02;0;36;0;9;38;False
2022-01-03;0;23;0;0;31;False
2022-01-04;0;0;0;0;33;False
2022-01-05;0;30;0;0;47;False
2022-01-06;9;30;0;0;37;False
2022-01-07;0;29;3;0;39;False
2022-01-08;20;45;0;0;44;False
2022-01-09;10;33;0;3;34;False
2022-01-10;3;100;0;0;59;False
2022-01-11;0;58;0;0;48;False
2022-01-12;0;27;0;0;41;False
2022-01-13;20;22;3;0;61;False
2022-01-14;3;51;4;0;51;False
2022-01-15;0;30;0;0;41;False
2022-01-16;3;43;0;0;44;False
2022-01-17;0;25;3;0;40;False
2022-01-18;4;27;0;0;36;False
2022-01-19;0;27;0;2;46;False
2022-01-20;0;37;0;4;33;False
2022-01-21;0;28;0;9;23;False
2022-01-22;4;26;0;14;33;False
2022-01-23;3;36;0;5;42;False
2022-01-24;19;27;4;5;60;False
2022-01-25;0;25;0;0;30;False
2022-01-26;5;23;0;0;39;False
2022-01-27;0;34;0;0;44;False
2022-01-28;9;16;0;0;30;False
2022-01-29;0;25;4;0;37;False
2022-01-30;0;31;0;4;44;False
2022-01-31;0;25;0;0;51;False
