date;Ben Whishaw;James Bond;Paddington;A Very English Scandal;air travel;isPartial
2022-01-01;2;76;31;2;2;False
2022-01-02;2;82;66;1;4;False
2022-01-03;1;47;23;1;3;False
2022-01-04;0;28;23;1;3;False
2022-01-05;0;26;17;2;5;False
2022-01-06;1;26;18;1;4;False
2022-01-07;0;32;21;0;4;False
2022-01-08;1;51;24;0;4;False
2022-01-09;1;45;22;1;3;False
2022-01-10;0;19;21;1;6;False
2022-01-11;0;22;19;1;5;False
2022-01-12;0;20;18;0;4;False
2022-01-13;1;22;18;0;6;False
2022-01-14;0;25;22;1;5;False
2022-01-15;1;35;25;1;4;False
2022-01-16;1;100;25;0;5;False
2022-01-17;0;17;20;1;4;False
2022-01-18;1;14;18;0;4;False
2022-01-19;0;12;15;0;5;False
2022-01-20;0;17;19;0;3;False
2022-01-21;1;22;20;0;2;False
2022-01-22;1;35;25;1;3;False
2022-01-23;1;28;23;1;4;False
2022-01-24;2;17;22;0;6;False
2022-01-25;1;16;23;0;3;False
2022-01-26;0;15;18;0;4;False
2022-01-27;0;15;18;0;5;False
2022-01-28;1;19;24;0;3;False
2022-01-29;6;27;28;0;4;False
2022-01-30;2;18;24;1;5;False
2022-01-31;2;14;19;0;5;False
